beseech	request	x
musician	music	-0.712220921048782
whale	ocean	-1.21609308444869
terrified	scared	-1.628026589203943
sad	happiness	-5.080899536551887
tongue	taste	-0.781114778180406
chair	sit	-1.083412151931907
wrench	tool	0.8352973956110458
tiny	little	-2.08195034045485
poor	money	-2.5161302823792453
safe	dangerous	-2.246333206251017
great	good	-2.3196962781482293
beautiful	pretty	-2.3364825939349063
ring	finger	0.07775878080991312
correct	right	-2.648374093200006
shoe	foot	-0.43019747303473743
puppy	dog	0.8077285604565309
rock	hard	-1.3962307601250452
sick	health	-1.905862646980481
hammer	hit	-1.9726284606086288
shield	protect	-0.3250385429211117
wall	room	-1.260233787717058
match	fire	-4.1639042568936455
candy	sweet	-0.32882820864016776
huge	big	-2.5699980703466614
teacher	educate	-3.7571559468421967
ugly	beauty	-1.3938132561309928
hilarious	funny	-0.2799654120958973
play	work	-3.4286511947942038
eyes	see	-1.1737298707025567
ham	meat	-0.022692429195345528
bird	fly	-1.2483414386012643
organized	neat	-5.032587219998645
shark	fish	-0.3301762171901493
branch	tree	-0.8555991433543049
dead	life	-1.8562663863026347
shovel	dig	1.295719871138288
pilot	airplane	-0.8930992878582252
near	far	-1.958260105625885
chess	game	-0.8034122130143031
win	lose	-1.5166256123944617
robin	bird	-1.1441287908474909
bees	hive	1.6655310390013018
giant	large	-2.0349902920229908
hard	soft	-0.2313645366280602
map	guide	-1.7776387979337702
apple	heathy	x
salesman	sell	-1.0759286752869899
rare	common	-1.5993428341219436
carrot	vegetable	-0.951058092686334
side	square	-2.1736634203838134
furious	angry	-0.9612345555195836
fin	fish	-0.6921281802186415
blanket	soft	-2.4720758821307287
rich	poor	0.35606447695533106
obese	overweight	1.983530630726955
disorganized	order	-3.4316824306629563
brush	paint	-0.06300000444435958
mountain	tall	-2.1129295936767747
hockey	sport	-0.9984267759101696
teeth	chew	-0.29291119558095
fork	eat	-1.615557602682726
ecstatic	happy	x
steak	meat	0.01185852559661808
nice	mean	-2.3795596554056795
exhausted	tired	-1.2519115513031425
shy	confidence	-2.359121210219133
artist	paintbrush	-3.7669820099741047
letter	word	-0.9402055316163288
dog	pet	-0.7320156934922362
tuxedo	formal	-0.027778998452339724
pot	cook	-0.7255219300571105
cushion	sofa	-1.697954911765157
jazz	music	0.3168052828610391
ancient	old	-2.3849353995336044
boulder	heavy	-2.485336529654293
mircroscope	examine	x
ice	slippery	-2.7505416610414266
depressed	sad	-0.5136239074928051
speakers	stereo	-1.5829585618938864
needle	sew	-0.28274346128779165
joy	emotion	-1.9910527071883168
dangerous	safe	-2.5490151266246577
lazy	ambition	-2.8186803416067505
potato	vegetable	0.3093027633261577
scale	weight	-2.8900974411958282
ball	round	-2.9653101885646933
strange	normal	-2.9887154157454874
ignorant	knowledge	-2.13572303754484
brilliant	intelligent	-2.245840109961072
string	guitar	-0.4638010131615234
razor	shave	0.873809941214228
dry	moisture	-1.3710082066416027
theft	crime	-0.8649068442911617
milk	white	-2.097527102015692
full	empty	-2.6682923935156206
pen	write	-0.9437032639004346
mattress	bed	1.2097263418060653
clock	time	-0.7112860724899721
saturday	weekend	x
war	peace	-0.869753352419736
combatant	fighter	-0.7836007330572005
infantile	immature	-0.03178648801111285
convict	guilty	-0.2442390978021788
rifle	gun	0.3065751933732241
infinite	limited	-2.325362694905062
perish	die	-1.399851431089869
unskilled	expertise	x
ballad	song	-0.1145677160449657
clarify	obscure	-2.112679975262051
bun	hamburger	0.9020493789808792
charity	aid	-0.6291864043221539
traitor	treasonous	-0.23496306976688225
remember	predict	-5.342631441858999
doughnut	pastry	1.3152985510571331
examination	diagnosis	-0.47190986455595096
flamboyant	elaborate	-0.9122558282809704
taboo	acceptance	-3.9297481885781087
confirm	deny	1.735524813289986
salutation	letter	0.6706394073783449
referee	officiate	1.1567862272427318
professor	scholarly	-3.7879490738681345
beneficial	detrimental	1.0746896470214309
bunch	bananas	0.5777751821046998
granite	stone	0.005683759771962749
hyperactive	energetic	-0.2769016865599203
witness	testimony	0.2236081298277193
platter	serve	-1.9423712387246699
superstition	irrational	0.006888875171622464
airplane	hangar	-0.9716756417125068
illiterate	read	0.3897956238143037
honor	disgrace	-2.4931200332144607
whisper	quiet	-1.3420447925202892
island	archipelago	0.10542392516440316
patience	virtue	-0.6811871326276376
kiss	affection	-1.8875585457018969
network	connect	-1.524365916447288
devastated	damaged	-2.4996930966992337
algebra	mathematics	-0.2743095880440805
uninhibited	restraint	-1.698327147409317
offer	request	-3.8246283973374986
epidemic	widespread	-1.5579593591402756
note	melody	-2.8700831027170963
lifejacket	boat	0.21838390663070875
devout	religious	-0.3902419859382824
hidden	visible	-2.2473597524248743
cough	cold	0.6916738845122892
veins	circulate	-3.583863372660233
assassination	murder	-1.3781586300059738
ignite	extinguish	-0.021911561953911408
elderly	youth	-1.810014110420353
conclusion	essay	-2.839754800778462
locker	storage	-0.9724462832676964
excruciating	painful	x
fame	obscurity	-2.5946152724916374
heirloom	inherited	-0.4524002135964941
sunscreen	sunburn	2.320804502586317
contract	agreement	-1.3714162786642772
active	idle	-3.770503873659152
hasty	patience	-2.061100090574171
klutz	clumsy	2.412255219455604
lizard	reptile	0.9746972559390424
battle	war	-1.1888633977025047
treaty	peace	0.35439680791243017
lenient	strict	-0.3372281349754298
blender	appliance	0.8289466400114809
lantern	light	-0.13018285583901365
faded	brilliance	x
classroom	desk	-2.9195160794321917
dwindle	increase	x
ocean	immense	-4.2564436771816005
star	constellation	1.9278182847125784
documentary	film	-0.16443382432815
key	unlock	-1.1019456523884117
nearby	distant	-2.4178124672243526
whimper	fear	x
heart	organ	-2.880010855884873
tidy	unkempt	x
gasoline	flammable	-0.6453259493961224
adolescent	maturity	-2.5743188687814893
boastful	proud	1.0628409927327644
infection	bacteria	0.14732447933338572
mask	disguise	-0.8967389656762086
passport	document	0.016789400708642106
believable	credible	-0.1953753731723096
helium	gas	0.5021632739052211
fish	gills	-1.2060059178007303
insecure	confidence	-2.113878111206738
blaze	fire	-0.1232136165231668
antique	aged	-3.8301777116827322
article	magazine	-0.021666117852281345
lens	camera	0.8768621305532105
appalled	dismayed	0.2708669143356042
slob	messy	0.5004069784859563
fever	symptom	-1.0575425329746115
advocate	criticize	-3.3347916139689864
christmas	gifts	x
boundless	limit	x
coal	fuel	-0.37439218847631855
fisherman	net	0.3624432392632035
brake	decelerate	-1.7321798220613744
extrovert	gregarious	x
suspect	credibility	-4.874338167444198
platform	policies	-3.0655817552213347
aimless	direction	-1.0424880076648555
marathon	endurance	-1.936288146518226
emaciated	thin	-1.4683445063879481
infamy	reputation	-0.9172350261816988
jurisprudence	law	0.5849724282383979
apathetic	zeal	-0.2745830154535733
avarice	generosity	0.5527116549968439
bellicose	aggressive	x
rebuttal	refute	x
mutinous	compliant	x
rant	bombastic	x
castle	edifice	-3.9964464259597166
voluminous	large	-3.116008168425481
negligence	carelessness	-0.1009665781971355
shepherd	dog	0.12655168348117976
irrational	reason	-1.48387569780368
senator	legislature	-0.8343232850176042
galleon	sail	0.5966702074437701
misogynist	feminist	x
parishioner	church	0.8471046480103879
insurgent	rebellious	x
epidermis	skin	1.3015249498897647
quandary	uncertainty	-0.7301578028691644
colloquial	formal	-0.3383532828015911
spy	espionage	-0.5053074166983554
insomniac	sleep	0.6854536928700081
volatile	unstable	-0.4735534984733562
clairvoyant	predict	-0.09770403636108063
dirge	mournful	1.322445159800152
bourgeoisie	class	0.22540504624130805
menagerie	animals	1.9694161241409296
bow	boat	-0.5278675717201499
miser	parsimonious	x
prosaic	exciting	x
infallible	error	-0.6067878895616443
vacuous	intelligence	x
partisan	biased	-0.8273395499388628
initial	acronym	-3.977264007051122
meticulous	careful	-0.5725837686772437
ingenue	naive	x
hamlet	village	0.5296800725333116
frivolous	grave	-3.017122174608103
perceptive	notice	-1.9894998825302252
sophomoric	maturity	x
disparage	encourage	x
smorgasbord	foods	x
capillary	vessel	-0.6523806775982299
ignoramus	unintelligent	x
panacea	cure	0.7750113106758142
maladroit	skill	x
fastidious	particular	-0.56929618765412
exoneration	release	0.6826761041568679
clay	malleable	-3.9728672190374654
pristine	damaged	-3.252175919782402
fetter	restraint	x
map	atlas	-0.6268155133848617
diffident	confidence	x
agnostic	belief	-1.7502879457951528
palliative	relieve	-0.9990933512924032
exorcism	demons	1.1473577834794522
grouch	cantakerous	x
incipient	mature	-2.750427119820693
succulent	rich	-1.043277623682794
caucus	meeting	-1.7418139524779437
indigent	poor	-0.4751740427768808
impromptu	rehearsal	x
maelstrom	storm	x
enigma	mysterious	-2.349610685564163
veil	enshroud	-0.6740590603998343
poison	noxious	-1.885688176655988
placid	tumultuous	x
blatant	obvious	-0.7020367479098261
blasphemy	religion	-0.4316788159873893
tawdry	taste	x
tedium	excitement	x
cringe	discomfort	x
diatribe	speech	x
buttress	wall	0.27541001646669777
jury	deliberate	-1.4276706776122083
saccharine	sweet	x
altruism	selfishness	1.2580239546542749
bishop	ordained	0.4667246027131067
pragmatic	practical	-0.7783722042738114
cauldron	pot	-0.3926442810109633
precept	guidance	x
trinket	value	-1.9495326777161004
euphemism	polite	-0.17325891894232656
frail	brawn	x
acrophobia	heights	2.813481483866191
heretic	unorthodox	x
debunk	verify	x
legend	map	-3.3425366855415506
epistle	letter	0.0731165976173837
detective	mysteries	-0.5731556630847152
thwart	frustrate	-0.8366196473828009
decoy	deceive	0.013276572025493457
larceny	crime	-1.124432348246998
athlete	fit	-4.254659462844644
microwave	heat	-1.5488918226215194
comedy	funny	-1.5303138954360345
brother	sibling	-2.187937434071366
humiliated	embarrassed	0.4509570668606266
train	railroad	-1.9325066581482535
skeptical	belief	-1.86469386429127
optimism	pesimissm	x
sunscreen	skin	1.4837902152400817
spaghetti	pasta	0.7478675015482942
liar	honesty	-1.683125500840627
downpour	rain	2.4334533879073654
wizard	magical	0.21555801572557576
misfortune	luck	-0.13744453455684166
verse	song	0.2256331178970206
almond	nut	0.6428978171574357
wool	sheep	0.9882316041885214
pebble	stone	-0.07518897199355931
newspaper	inform	-3.2409644362051004
bus	automobile	-2.9922405532257814
engine	car	-1.1517259260183403
butcher	meat	0.6837628268514768
obscene	inappropriate	-0.08297977140701357
positive	negative	1.7713238021572628
cigarette	unhealthy	x
helmet	head	-0.37224710220579504
sewing	craft	-1.064527699646428
accident	unintended	-4.674100213954546
trivial	importance	-3.1899650613003856
expert	skilled	-1.9385478379281451
coffee	bitter	-2.1302352684207317
alarm	warn	0.11345615960965555
soda	beverage	-0.974451720818794
clock	time	-0.7112860724899721
deck	ship	-0.03768274717471545
help	hinder	-1.8111901299525224
apple	tree	-0.5383498094615582
shell	nut	-1.4777108054468362
carefree	worry	-2.1439506878989656
huge	large	-2.2772735334415657
torch	illuminate	-0.4653485209140296
jewel	shiny	x
wedding	ceremony	-0.24427799469608474
gallery	art	0.09800196511777166
violinist	orchestra	0.7283292244648907
foot	inches	0.04995218294614074
bright	dull	-0.8249981933089868
apathetic	motivation	x
loathe	dislike	x
root	plant	-0.8262384902129721
orphan	parents	-0.1163258689926407
mirror	reflect	-0.3825397461746109
cloth	threads	-1.2559351753278818
tattoo	permanent	-1.0194932946591355
outdated	modern	-0.5954883716042902
adorable	cute	1.8123633264009509
sculpture	art	-0.2733706337144149
order	chaos	-2.3741298640383577
reckless	caution	x
fork	utensil	0.20441942074753966
general	army	-1.343330915306579
helmet	protect	-0.9232798432919244
bachelor	wife	-4.820187482038496
gigantic	large	-2.45942941717354
pain	discomfort	0.9377956073733736
mansion	large	-2.006545487581212
bald	hairy	-0.12056353020471235
sword	weapon	-0.576973115809909
stage	theater	-2.1419273784058
ruby	gem	0.7449947849195379
building	manmade	-5.868361769831709
insecure	confidence	-2.113878111206738
ingredient	recipe	-0.27093798910800065
nightmare	dream	0.10688904837266408
scientist	laboratory	-1.2137196895628446
hilarious	funny	-0.2799654120958973
surgeon	doctor	-0.971930933171082
siren	alert	0.049334453477577984
ruthless	pity	-3.3542241416075784
mandatory	optional	0.10702541479701363
house	shelter	-2.8995561861148214
strange	familiar	-1.4966763436203503
room	house	-0.9237462436586226
silk	smooth	-3.67455722858412
plant	garden	-1.5118309685002096
trip	fall	-2.1640966021733683
mechanic	cars	-1.8983623269094296
cotton	cloth	-0.0406795876739724
criminal	innocence	-3.3748273456079745
priceless	valuable	-3.31037519677849
rooster	chicken	0.5016447159907754
policeman	enforce	-3.846766126335498
full	empty	-2.6682923935156206
novel	fictional	-1.0935716720305693
daffodil	plant	-0.3575427647634099
unique	uncommon	-3.6580824753280656
bread	bakery	-0.3233635239960004
democracy	government	-1.1392308805172655
extravagant	modesty	x
hand	clock	-2.9649837727695774
fresco	painting	-0.011595368223971043
monument	venerate	x
unnecessary	prerequisites	x
fiery	flagrant	x
waiver	safe	x
obdurate	cooperative	x
betray	trust	0.8144311575938575
woman	engender	-4.789077357817362
turbulent	violence	-2.5299552725707595
dissertation	plagiarized	-1.1070719467645214
territorial	terrestrial	x
installment	serial	-1.2688794571635604
masquerade	party	-2.082806798503894
headmaster	principled	x
directory	telephone	-1.2663068495040748
elevation	pinnacle	-5.706189121052537
hindsight	perfect	x
homage	copy	-3.3123555039351973
leaf	autumnal	-3.0862098104712
autonomous	free	-1.7427987679062755
inkling	pen	x
latent	manifestation	-3.3206268355730426
stringent	solid	x
dishevel	destroy	x
symbolic	metaphor	-2.71565118769467
treaty	war	-1.0653465235532809
patron	sexist	x
rural	suburban	-0.005315409953851724
termite	wood	-0.10483311414688604
atheist	faith	-0.8091897964981692
hazardous	dangerous	-0.5051872812358821
frame	painting	-2.772647399709591
tractor	pulled	-1.5185502989570148
boorish	propriety	x
predator	ecosystem	0.022943483523710576
usury	interested	x
abstain	indulge	x
capricious	restrained	x
asphyxiation	choking	1.9595134511597767
tournament	stadium	-3.100613836775857
measurement	weigh	-3.7507259076260384
lava	molten	-0.1822544117114349
koala	marsupial	2.2133443248308806
idyllic	dreams	-3.6021459446720705
beneficent	upset	x
legitimacy	scam	-2.7643031972051735
unique	unprecedented	-3.0972529236840938
vivacious	health	x
picnic	basket	-2.4923381591021347
celebrity	questionnaire	x
narcissist	egocentric	x
teenager	neonatal	x
humorous	amusing	-1.9666081298727685
padded	resume	-0.9844378264199676
simplicity	complex	-2.213685195208337
procure	valuable	-3.1168206703847536
stigmatize	criticize	x
whimsical	capricious	0.5403566325569308
conjecture	supposed	-3.0726004765088337
evil	courtesan	-4.797423146394385
ornament	tree	-1.3593061093029055
cheap	inexpensive	-1.953141272002876
heretic	blaspheme	x
dance	polka	-1.6302132361442978
smoke	burn	-1.9630567770350744
mawkish	stoic	x
ostracism	society	-0.591741167207099
libertine	freedom	-2.2524206298777134
choreography	dance	0.6360518095971691
ironic	metallic	x
elucidate	clarify	-1.3943011208608582
penetrate	impermeable	-2.4206460840726347
swallow	migratory	-2.2722833401286118
cancer	tumors	-0.3209113387113302
complain	ravenous	x
corpulent	thin	x
concertina	instrument	0.4825604348314374
lovable	annoying	x
tentative	agenda	x
elucidate	clarify	-1.3943011208608582
shower	water	-0.8826892869742374
car	garage	-1.1914328444418922
quiet	secret	-3.1493596063388014
weak	strength	-1.60770962376723
boat	swim	-1.8114940936823536
cup	drink	-1.2904765527549054
cow	milk	2.3469397179753484
huge	big	-2.5699980703466614
tired	energy	-3.639527974556048
silent	noisy	-3.7741365036481516
fun	cool	-2.2955657445161735
terrible	bad	-1.7689199823017776
necklace	neck	0.6119736855551431
crazy	smart	-2.731068857512186
boot	hand	-3.4553840962543303
kitten	cat	0.6268076601593654
water	wet	-2.2225816578102062
sad	emotion	-2.1435117243425954
knife	cut	-0.04551410906081328
computer	talk	-4.284796363290358
lettuce	sandwich	0.3715401418536849
bag	wallet	-1.292096932117912
water	cold	-2.1885677761508457
nice	good	-1.207679973026952
doctor	heal	-2.4554904504118786
serious	humor	-2.905587427529732
right	wrong	-0.2403601408256163
laugh	cry	1.8600516618462342
hands	cry	-4.184305638409674
air	water	-0.6831370071067495
horse	ride	-1.1380225570306488
ugly	pretty	-0.7417625942048803
sausage	vegetable	-2.3463708181427316
lemon	fruit	-0.1952610416362295
cold	temperature	-0.8672531653525046
bus	run	-0.5762516065655389
driver	ship	-6.276737930648947
gray	black	0.41761528822518384
checkers	basketball	x
play	learn	-3.483393062815185
pear	fruit	0.500378218259963
cows	city	-4.569847225941922
scary	bad	-3.4437360574828904
fast	quick	-1.9251264238879349
apartment	locate	-3.6290065997395913
teacher	good	-3.414071048054962
teacher	learn	-3.153159596869759
shiny	bright	-0.1874114073752152
animal	horse	-1.9756056984627888
finger	hand	0.7464660957215963
sad	happy	0.00023111461217726343
string	guitar	-0.4638010131615234
money	rich	-3.039641816163205
young	old	-0.9322924399931732
guilty	wrong	-3.6944256166872727
intelligent	belief	-3.446781431993885
straw	drink	-0.962066633381333
game	fun	-2.5576142335990197
bus	car	-1.2493178907087858
clouds	fly	-3.156192955106784
calculator	think	x
depressed	sad	-0.5136239074928051
nature	wood	-4.013793669641109
bad	happy	-3.50193588261199
ready	lazy	-5.21174453671395
smart	sense	-2.6076978689854373
lawyer	computer	-4.9236012894195005
brick	house	-0.3442455953887121
fire	water	-1.4791017916472318
car	fast	-2.625116808792858
camera	take	-1.5079912196678809
faucet	sink	0.8563803299831363
silver	metal	-1.531083195872711
crazy	unhealthy	x
ring	beautiful	-4.56415220759869
letter	communicate	-4.171553958377348
basketball	fun	-4.124208868510118
peaceful	bored	x
arms	legs	1.0973953712239193
movie	entertain	-4.553890149105194
food	beverage	0.6846499835288506
hard	nice	-4.502396421162318
bald	hair	0.06871048241035367
fish	shark	-0.663445743515635
thermometer	temperature	1.7615542554190526
dog	friendly	-2.9240124622506265
scared	angry	-0.4476525697230194
scared	courage	-3.415374715732118
devastated	disappointed	-3.799446042049971
shoe	pants	-2.261070888627001
hair	comb	-1.1005257060601017
light	height	-3.983120014573617
winter	season	-0.8904340347145114
traffic	heavy	-1.6630844476893265
boring	exciting	-1.052193733822456
shovel	dig	1.295719871138288
drain	sink	-1.344435402296061
building	height	-2.355753925155209
November	December	0.5745984475609824
weather	clouds	-1.4761217418706956
queen	monarch	-2.0860510087944144
outstanding	impressive	-3.5085595553257583
clock	digital	-2.050662240718653
van	automobile	-4.103575904847114
valid	illegitimate	x
ignore	oversee	x
vivacious	intensity	x
burial	death	-1.9436640084078685
guard	protect	-1.093396936613991
ketchup	hotdog	0.6797207494796523
dictionary	words	0.6866547567262179
reporter	biased	-3.7274032628680898
hear	listen	-1.8219452009304409
passport	document	0.016789400708642106
evaluation	title	-5.151713041274056
kind	benevolent	-2.1511577766611643
factual	opinion	-1.4651223427527162
use	employ	-4.2774428452797695
courtship	marriage	1.4002380070099951
sentry	guard	1.191683918076922
friend	imaginary	-4.281453277734393
allowed	forbidden	-3.29916727733285
street	neighborhoods	-2.426981098060496
action	event	-2.9199903682121118
fabulous	drab	x
spouse	marriage	-0.503939391733996
fork	dice	x
opinion	factual	-2.8209449789965113
car	garage	-1.1914328444418922
immobile	move	-2.110086583658595
comfort	pleasure	-1.4625031637022354
folktale	traditional	-2.7518127964782693
anchor	aircraft	-4.343750635486506
essay	story	-1.9678965589976491
smile	fear	-2.9982442722573883
statue	memorialize	-4.050980883344068
unusual	weird	-2.6337113712342908
rain	precipitation	-0.1844872058475524
overweight	shape	-1.906775801680474
damage	repair	-1.4207217333716349
artist	idealistic	x
bone	skeleton	-1.2332171081579046
medicine	disease	-1.5681623783860261
hyper	energetic	0.3214772909288858
spicy	delicious	-0.5810188697578722
fever	issue	-3.7433208297036917
calculators	think	x
document	certificate	-2.2219103475318547
harvest	plant	-1.9285646565187584
famous	popularity	-4.380108320074986
theme	song	-0.9576270997164541
telephone	communication	-1.4142618311668276
baffling	confusing	x
peace	harmony	0.5466732339198384
ship	wooden	-3.1608925047314624
hope	tornado	-5.723002777097938
limerick	poem	0.7555459035621295
challenging	difficult	-1.3704843351702214
unskilled	magic	-1.785176976078414
priest	evil	-3.09819281813222
ambulance	hospital	0.92683988696468
button	hole	-2.626286501569887
title	ownership	-3.357818763222053
hopeful	optimistic	0.5765769897357507
tent	cabin	-0.9909283046434102
fan	oxygen	-4.933091535621456
decrepit	strength	x
bank	dollar	-2.871240351544768
ridicule	mock	-0.5821354621802478
surface	flat	-1.6936596811821931
crystal	jewel	-2.6118756600333337
parka	sweater	x
newspaper	guide	-4.524828023153441
timid	bold	-1.2736656300446492
grimace	comfort	x
glaze	sauce	-1.4097240582491184
smooth	jagged	-1.5728838727572887
love	wonderful	-3.5619171198085486
murder	motive	-2.276257868130481
angry	outraged	-1.5992144212955408
intoxication	alcohol	0.8788883961028644
powder	moisten	x
mineral	geology	-1.9574151690000128
chilly	freezing	0.0881342959479921
Christianity	religion	0.8746809080691798
pig	hooves	-1.1806213139139177
fluent	language	1.2590618969171858
decision	idea	-3.9338286210669415
technique	effective	-1.8527059005400683
revolution	war	-1.3634452604219334
amplifier	violin	x
interested	apathetic	-4.148311976467153
benefactor	poor	-1.1883295747095644
debate	argument	-1.8180362801205727
excuse	permit	-2.8605299178430563
Thanksgiving	turkey	0.5606342426578539
saintly	holiness	x
kidney	body	-1.90897475362306
teacher	professor	-1.259267760165579
nurse	operate	-3.774973397808419
jingoist	nationalistic	x
dubious	discussion	-3.039380564242286
slaughterhouse	meat	1.466163064955038
wary	trust	-1.2423555049799484
tournament	judges	-4.744524448735286
peripatetic	mobile	x
compassion	virtue	-2.561497440741594
linguistics	language	0.6105154355415204
righteous	judgment	-0.9206730797771896
tenacity	determination	1.1940982543645149
reputable	shady	x
convulsion	shudder	x
nebulous	distinct	-2.3151200583503093
recluse	friendly	x
objective	task	-2.984236993624652
ravenous	hungry	-0.98557700980003
stone	lithograph	-4.997541644990903
marsupial	kangaroo	1.7671590498983858
voluble	fluency	x
palisade	resort	x
masterpiece	create	-5.495741124455776
modicum	abundance	x
rant	soliloquy	x
garrison	garrulous	x
hypotenuse	triangle	3.234806345999555
treachery	forgiveness	-2.8207088888972867
unbecoming	improper	-0.5518656228237989
manufacturer	production	-1.5948327926363992
punishment	penance	-2.1452661371770225
scholarly	erudite	-1.6915422792550272
crustacean	swim	-3.5935272712991826
tree	deciduous	-1.4669041868338355
commission	wage	-3.873617867956482
troupe	theaters	-3.436664567760865
word	lexicon	-1.9283252448660704
humanitarian	mortal	x
clandestine	overt	-0.7739619176017226
inebriated	sobriety	0.0566525196816976
vapid	liveliness	x
rivulet	powerful	x
homophone	definition	-2.2478295820109824
ascetic	frugal	-1.4771781322949626
witness	judgmental	x
fallacy	lie	-2.227909691818449
astute	clever	-0.4506235003622016
apprehensive	doubt	x
circumspect	attention	x
venerate	desecrate	x
anthology	passages	-2.3665782389414542
concubine	spouse	-1.322222523295739
teacher	tenured	-3.376127202172378
condiment	eat	x
domineering	power	-2.6162807178907617
fanatical	enthusiastic	x
examination	accusation	x
profanity	censored	0.9923104590836318
ruined	annihilated	x
dichotomy	division	-2.686546452331782
appendage	body	-0.4340100957895837
infertile	family	-3.708142557067297
lummox	grace	x
predicament	solve	-2.4728349525849715
putsch	government	0.09532026076280732
conspiracy	successful	-3.711267280663871
prescient	correct	x
caustic	relaxing	x
chef	entree	x
ethereal	concrete	x
precocious	direction	x
feline	cat	0.8134657872430359
bigot	prejudiced	2.3037785725547786
beautician	paint	x
performance	stellar	-3.5455535494208745
coveted	desired	-2.417614774072301
preeminent	important	-3.0236527643172484
fornication	marriage	0.26469359884440724
vicious	wrath	-3.924575695816295
revision	edition	-0.9243845094924544
nod	acquiescence	x
deal	hustle	x
precinct	city	-0.8159501993782164
candidate	deprecate	x
omniscient	omnipotent	4.2185630327059975
alacrity	clarity	x
prince	opulent	-4.530881933096988
irritating	pleasing	x
vibration	perception	x
chord	music	-1.4871203023462298
sequoia	longevity	1.092101249295933
prophet	rogue	x
humorous	wit	-1.9457683686284788
claustrophobia	closets	x
hero	folksy	x
revere	denigrate	x
continent	nation	-2.010358058390096
decathlon	competition	-0.3806857536456935
theologian	cancer	-5.589852584988831
retain	burst	-4.987392027371401
landscape	surround	-6.1425752051573275
bureaucracy	administration	-1.0747991606928315
chef	fat	-3.0111633830101963
refrigerator	cool	-0.7655359455202804
mystery	boring	x
mother	daughter	0.024852541095755947
shy	timid	1.2260623253900729
boat	mountain	-4.071471051701265
unpopular	wealth	-5.331040644413563
success	failure	-0.6418930620440363
magic	children	-2.869425723256775
ketchup	condiment	1.4699282835043872
lawyer	mercy	-5.761479011097785
wave	water	-1.8059543847783548
king	royal	-0.699375692163344
victory	defeat	-0.7490122626672105
core	apple	-3.5644705948870654
hill	mountain	-0.4245312486454498
leather	cows	-3.436773750337652
minnow	fish	1.158139326676639
television	watch	-2.8115421758935857
building	house	-1.1708335691880267
lens	microscope	-0.38683331498109297
maid	chores	-1.6312484960929927
impossible	easy	-4.21386051090355
clean	filthy	-2.5424324595322827
sin	immoral	-2.9535524453544486
mask	face	0.2621498986512967
salt	food	-1.7254474514706124
idea	true	-2.758288304305902
prestigious	honor	-1.4363826840772131
athlete	thin	x
meat	fried	-0.5329100441238959
map	navigate	-1.6523510181407737
fish	ocean	-1.824874265725848
guitar	music	-1.5424985888366958
sleeve	shirt	0.2366952548570267
hurry	delay	x
cow	field	-2.839683523066061
pill	doctor	-3.247946410843672
upset	sadness	-4.925142912171948
possible	easy	-3.743291055048908
stove	bake	x
demon	evil	-0.5795259058566914
animal	dog	-1.6653488525266582
library	books	0.21441479783430795
referee	team	-1.6930362295468888
bathtub	gallons	-2.055622280785676
obvious	clear	-2.4483581683094178
brilliant	ideas	-2.7223446052127107
