lull	trust
condolence	mourner
petal	flower
ruthless	compassion
emollient	soften
caption	cartoon
berate	criticize
perceptive	discern
emulate	person
incumbent	office
conundrum	perplex
museum	exhibit
lens	glass
arena	conflict
arable	cultivation
refurbish	worn
defend	untenable
flap	wing
poison	toxic
deduction	rational
beauty	aesthete
flippancy	jollity
incantation	words
camera	photographer
format	newspaper
decibel	sound
arid	dry
fission	energy
lobbyist	cause
journal	article
emissary	represent
potentate	power
postscript	letter
impious	reverence
disingenuous	craftiness
exculpate	blame
bruise	skin
carpenter	woodwork
walk	scurry
regale	entertain
recycle	waste
florid	prose
story	building
sprout	seed
doormat	shoes
atlas	maps
dodo	bird
procrastinate	action
lummox	clumsy
siren	warning
preamble	statute
hedonistic	pleasure
topic	discourse
contemporaries	age
querulous	complain
seed	plant
sandal	footwear
rent	property
virtuoso	music
audacious	boldness
balk	fortitude
betray	loyalty
cajole	compliance
hinder	destination
soothe	passion
lion	cat
goose	flock
ewe	sheep
cub	bear
primate	monkey
paint	portrait
poetry	rhythm
note	music
tale	story
week	year
aquarium	fish
forest	wildlife
crib	nursery
fence	yard
barn	tool
subtitle	translation
bar	graph
figure	blueprint
key	chart
footnote	information
sculpture	museum
store	window
library	book
canvas	painting
theater	intermission
hypothesis	evidence
testimony	trial
ballot	election
rule	game
contest	debate
conduit	fluid
corner	intersection
sign	detour
aisle	seat
corridor	building
assurance	uncertainty
enmity	hatred
secrecy	curiosity
reward	deed
sluggishness	fatigue
grove	trees
orchard	apples
pasture	cows
reef	waves
crop	plants
bashful	attention
obliging	thanks
insecure	doubt
merciless	compassion
pathetic	pity
querulous	reconciliation
forlorn	hope
radiant	happiness
graceful	posture
marvelous	wonder
amplify	volume
overflow	capacity
appraise	value
stump	answer
weigh	scale
gratuity	bonus
apology	regret
pledge	donation
trophy	victory
debt	loan
patron	client
coach	athlete
waiter	diner
driver	passenger
novelist	writer
create	talented
mend	repaired
cook	raw
sing	vocal
narrate	fictitious
vital	energy
parched	moisture
restrained	limit
measured	quantity
deliberate	intention
sprint	run
boil	heat
ramble	walk
evade	elude
crawl	creep
inefficient	time
prudent	discretion
clairvoyant	perception
inept	mistake
pretentious	modesty
idol	adulation
gourmand	food
scapegoat	symbol
collector	ownership
protagonist	narrative
crew	ship
scholars	library
group	society
spectators	arena
actors	stage
day	night
mile	distance
decade	century
friction	heat
part	whole
architect	blueprints
bibliographer	books
curator	artworks
traveler	countries
surveyor	instruments
flammable	fire
resilient	shock
soluble	water
corrosive	iron
responsive	stimulus
skyline	city
bank	stream
hub	wheel
dam	river
reservoir	lake
game	players
picnic	woods
swarm	insects
cat	kittens
vase	flowers
defiant	complacency
serene	tranquillity
precious	worthlessness
sociable	antagonism
lucky	persistence
recruit	competent
fracture	separable
renovate	habitable
purify	contaminated
reproduce	copied
supervisor	obedience
comrade	victory
adversary	opposition
traitor	loyalty
teammate	competitiveness
outcast	exclude
firebrand	soothe
performer	applaud
monarch	depose
lobbyist	persuade
swerve	obstacle
blaze	paint
bar	door
emigrate	travel
digress	subject
hedonist	restraint
demagogue	emotion
anarchist	authority
disputant	argument
litigant	settlement
escape	flight
accuse	crime
hide	discovery
shun	ridicule
guess	answer
vex	mutter
calm	quell
teach	lecture
push	fight
stare	glance
yeast	bread
pine	tree
vine	fruit
knot	rope
twig	nest
horse	saddle
tractor	plow
rudder	rowboat
camel	desert
gasoline	automobile
interrupt	conversation
rehearse	play
terminate	ending
punctuate	sentence
abbreviate	word
office	rank
platoon	army
president	term
lawyer	court
summit	mountain
recite	practiced
sully	impure
enlighten	ignorant
revere	unrecognized
adore	cordial
arm	hand
lung	breath
flipper	water
cloud	sky
engine	jet
shrink	wet
measure	equal
magnify	invisible
deflate	flat
increase	boundless
protagonist	story
chronicler	events
playwright	stage
comedian	jokes
vocalist	voice
exaggeration	truth
compassion	sympathy
security	instability
fortitude	danger
emotion	anger
shabby	clothes
discolored	bruise
devastated	city
vacant	apartment
chapped	lips
panel	contest
corps	army
members	board
police	precinct
climbers	mountain
symptom	disease
food	hunger
fertilizer	growth
diagnosis	treatment
gravity	force
debatable	quality
inaccurate	correction
modulated	pitch
unheralded	publicity
precious	value
dim	light
noisy	uproar
tanned	leather
rough	texture
hard	granite
relapse	condition
lotion	skin
hoist	elevating
splint	movement
inflation	expanding
shiny	polish
pale	hue
raspy	softness
enchanting	desire
garish	brightness
philanthropic	destitution
servile	submissiveness
truculent	temperament
bereft	consolation
resplendent	drabness
document	assertion
disprove	evidence
sentence	punishment
promise	advancement
disseminate	information
battery	discharge
glue	adhere
stain	cleanse
poison	ingest
water	drink
devour	starve
shout	speak
run	scamper
prepare	finish
deliberate	conclude
agenda	meeting
diary	secrets
roster	names
manual	equipment
ledger	numbers
sycophant	demean
braggart	boast
parasite	contribute
hero	worship
dissembler	believe
frugal	wastefulness
proud	accomplishment
generous	wealth
disqualified	competition
disgruntled	cynicism
transparent	see
stationary	stop
arid	rain
stiff	bend
damp	soak
manuscript	submit
license	revoke
writing	erase
blueprint	build
receipt	pay
heart	organ
finger	hand
skeleton	body
elbow	joint
scalp	hair
inmate	prison
detective	clue
employer	work
salesperson	store
partner	business
heal	illness
demand	due
bind	movement
complete	task
chat	conversation
clique	outsider
band	musician
gymnasium	athlete
museum	curator
audience	performer
smile	greet
write	compose
complain	bicker
examine	scrutinize
ignore	notice
heat	fire
breathe	air
immunize	disease
melt	liquid
push	resistance
reap	wheat
whittle	wood
sweep	broom
prune	tree
rake	leaves
sequel	movie
conclusion	title
tiff	quarrel
intermission	play
finale	symphony
thief	larceny
peer	nobility
scoundrel	virtue
gambler	luck
benefactor	gift
speech	topic
tension	violence
facade	appearance
buffoonery	action
pretense	honesty
division	unite
agreement	dissent
eulogy	praise
travesty	reproduce
charity	donate
evidence	proof
achievement	reward
damage	compensation
imitation	forgery
emotion	ecstasy
hear	listener
banish	exile
separate	joint
operate	doctor
sprain	ankle
microscope	size
decibel	loudness
orchestra	instrument
computer	data
scale	weight
franchise	license
lease	owner
patent	design
trademark	registration
brand	manufacturer
flee	elude
dangle	drop
send	receive
contract	lengthen
publish	write
accord	nations
code	principles
policy	officials
debate	opinions
offense	criminals
wrong	apologetic
refracted	direct
comic	funny
sad	empathetic
merry	morose
stamp	letter
period	dot
key	door
compass	circle
thermometer	degree
exhaustion	slumber
blink	eye
snack	meal
swallow	bite
feast	banquet
technician	laboratory
student	school
administrator	hospital
spectator	arena
president	electorate
safe	lock
suitcase	clothing
camera	film
setting	jewel
car	engine
weigh	heavily
assist	grudgingly
speak	softly
muffle	quietly
absorb	quickly
plant	tropical
meat	carnivorous
snake	slippery
dog	canine
lung	amphibian
unrealistic	understanding
unethical	morality
illegible	erasure
infinite	expansion
factual	verification
construction	houses
honey	bees
map	boundaries
train	passengers
range	mountains
plug	insert
clamp	grip
saddle	straddle
bridge	suspend
incinerator	warm
belligerent	fight
remarkable	surprise
charitable	receive
antagonistic	agree
persuasive	believe
instructor	blackboard
graduate	diploma
musician	note
painter	brush
composer	score
illustrate	manual
hang	picture
sew	thread
bake	oven
write	text
leadership	follower
proof	theorist
expertise	authority
contradiction	investigator
confiscation	official
height	statue
depth	bottom
song	voice
edge	sharpness
standard	selection
outline	story
plot	fiction
page	paper
paragraph	book
abstract	report
proud	winner
choleric	anger
artistic	work
ironic	wrath
prolific	author
carnal	active
genial	amiable
insomnia	sleepy
pacify	peace
liveliness	careful
teacher	chalk
carpenter	wood
soldier	gun
photograph	camera
book	word
mean	gauge
huge	weight
exact	measure
exotic	accord
anomalous	model
octagon	eight
entreat	gift
normal	mean
centennial	year
benediction	church
computer	brain
telescope	eye
book	library
clock	time
keyboard	finger
gaunt	rotund
wary	angry
thin	elongated
proud	arrogant
libel	free
sharp	pointed
one	unit
round	square
strong	weak
smell	good
school	fish
venison	deer
oxen	cow
peak	mountain
skin	lion
quest	search
ask	interrogate
testify	perjure
buy	sell
ask	donate
ironic	wrath
proud	prize
artistic	work
ungainly	skill
prolific	design
carnal	active
prejudice	tolerance
generosity	kindness
rivalry	noise
liveliness	patience
ability	skill
confidence	conceit
intelligence	capability
surprise	horror
pleasure	blessing
gift	recipient
huge	weight
painting	artist
payment	donor
measure	gauge
normal	mean
powerful	omnipotent
ephemeral	eternal
octagon	eight
beneficent	strong
broken	contract
written	rule
outdated	book
adjusted	clock
corrupted	morality
eulogize	hero
inaugurate	mayor
promote	general
unfrock	minister
elect	leader
weak	strong
formidable	strong
round	square
sharp	pointed
stately	grand
ridge	mountain
pride	lion
oxen	cow
chair	furniture
mammal	horse
happy	hostile
elated	deaden
sincere	satisfied
emotional	accord
cheerful	hilarious
take	move
stagnate	flow
run	walk
sleep	rest
create	design
ovation	adulation
hobble	movement
generosity	kindness
fighting	noise
brightness	sight
ability	question
enigma	puzzle
intelligence	capability
strong	weak
pleasure	blessing
painting	artist
heavy	weight
barren	fruit
gift	donor
measure	ounce
normal	mean
powerful	omnipotent
abstemious	overindulgent
rife	vogue
beneficial	strong
fragrant	flower
acrid	taste
outdated	book
adjusted	clock
broken	glass
selection	decisive
food	alive
promotion	public
comment	eulogize
congregation	alone
interrogate	prosecute
deface	kill
testify	subpoena
good	bad
steal	confiscate
silent	loud
annoying	obnoxious
clear	ostentatious
legible	published
edible	poisonous
evening	night
earthquake	tornado
candor	falsehood
heroism	praise
fine	penalty
soldier	strength
prisoner	remorse
expert	skill
servant	obedience
parent	wisdom
pauper	wealth
vehicle	wheels
drop	out
weather	mutability
nurse	information
omen	evil
garb	rank
signal	warning
visage	countenance
hate	love
stem	leaves
teacher	student
mother	aunt
cloud	rain
parent	offspring
retribution	infamy
death	funeral
poverty	wealth
contempt	anger
ruse	plan
power	fame
east	west
indifference	nonchalance
pride	shame
royalty	nobility
effectual	able
expensive	exorbitant
ghastly	gruesome
conspicuous	sullied
bold	tremulous
indifference	callous
caution	reckless
concern	affectionate
friendliness	congenial
spontaneity	whimsical
cantankerous	testiness
ornamental	flourishes
susceptible	resistance
flexible	strength
conclusive	results
charlatan	impostor
pretender	monarch
defendant	prosecutor
arbitrator	judge
professional	amateur
focused	attentive
rash	prudent
considerate	angry
controversial	argumentative
fortunate	complacent
accuse	offense
punish	reward
extricate	freedom
camouflage	identity
rescue	danger
deferential	scorn
malevolent	influence
indomitable	defeat
stoic	hardship
frivolous	giddiness
contrived	plot
desultory	direction
durable	structure
frenetic	activity
dejected	sympathy
diamond	hard
ocean	nautical
iron	rusty
sandpaper	smooth
water	irrigated
deviate	individuality
corrupt	purity
judge	verdict
shock	amazement
threaten	attack
exemption	participation
injury	pain
labor	recreation
immunity	disease
transformation	deterioration
implement	accomplish
suggest	command
hinder	facilitate
filter	separate
oppose	disagree
athlete	prowess
thief	felony
gossip	reserve
preacher	oratory
gourmet	cuisine
fireplace	wood
curtain	stage
shutter	light
sieve	liquid
window	glass
anthology	poem
rave	critic
collector	painting
performance	play
hit	song
communication	signal
strength	resistance
surprise	astonishment
reform	corruption
fondness	hatred
rectify	error
augment	reduction
probe	feeling
amplify	volume
distort	image
soldier	obeys
runner	stretches
dentist	drills
bicyclist	brakes
motorist	drives
score	melody
instrument	artist
solo	chorus
benediction	church
suit	wardrobe
soldier	battle
student	knowledge
prophet	revelation
judge	law
athlete	prowess
ounce	unit
splinter	wood
water	bucket
twine	rope
cream	butter
glove	hand
jewelry	wealth
slicker	moisture
disguise	identification
helmet	protection
enormous	large
superficial	careful
tiresome	bored
precious	greedy
obvious	deceptive
outline	book
line	stanza
accent	stress
rhyme	sound
palette	painting
ship	gangplank
crop	harvest
car	garage
pedestrians	feet
water	riverbed
sap	tree
siding	house
glue	paper
core	apple
oil	engine
reciprocate	favor
compete	contest
ponder	decision
relegate	position
decree	religion
farm	domesticated
planetarium	artificial
university	academic
aquarium	marine
gymnasium	athletic
diploma	graduation
vacation	employee
value	treasure
actor	theater
laughter	joke
blizzard	winter
spark	flame
desert	sand
cloudburst	rain
snow	drift
despise	pleasant
swindle	gullible
parole	guilty
caution	watchful
shock	abrupt
teacher	textbook
ballerina	leotard
hypnotist	subject
lawyer	criminal
manager	baseball
ingrate	gratitude
apprentice	skill
trickster	honesty
truant	education
effigy	hatred
contamination	impure
putrefaction	preserved
replication	completed
inflation	reduced
destruction	violent
horse	mare
cat	kitten
swine	sow
human	animal
cow	herd
limousine	automobile
chandelier	candle
tuxedo	wardrobe
diamond	rhinestone
yacht	harbor
scarf	hat
box	bag
crate	produce
neck	head
blood	heart
ceremony	sermon
agenda	advertisement
poetry	recitation
instrumentation	conductor
plot	story
deprivation	materialism
indiscretion	convention
affliction	sympathy
adventure	expedition
drug	medicine
petrify	stone
centrifuge	liquid
saturate	fluid
corrode	acid
incinerate	fire
flint	stone
flange	wheel
cinder	coal
fragment	bone
tare	grain
vindictive	revenge
scholarly	library
immaculate	cleanliness
thirsty	water
belligerent	invasion
knocker	door
stick	gong
hand	drum
pestle	mortar
gavel	lectern
reflect	luminous
burnish	lustrous
heckle	raucous
repulse	odious
braid	sinuous
dispassionate	equanimity
macabre	interest
perfidious	loyalty
brilliant	gullibility
lavish	extravagance
annoyed	disillusioned
disturbed	interrupted
covetous	rapacious
outmoded	ostentatious
tranquil	placid
temperature	virus
influenza	feverish
fear	heights
illness	germs
no	choice
new	used
alien	foreign
aged	wrinkled
immigrate	exodus
no	choice
rancid	fragrant
chewy	textured
coarse	rough
solitude	company
no	choice
brush	bucket
peanut	butter
clock	time
art	life
no	choice
posh	sumptuous
luxurious	spare
moneyed	frugal
rich	poor
no	choice
castle	turret
bathroom	sink
chair	furniture
apartment	rent
no	choice
abhor	dislike
reject	despise
praise	lavish
ingest	reject
no	choice
oak	tree
tendril	vine
rat	vermin
meow	cat
no	choice
loud	cacophony
rebel	solitude
secede	autonomous
inferior	dominant
no	choice
africa	continent
meow	cat
barnyard	farm
picnic	basket
no	choice
isolation	solitude
inflated	exaggerated
willful	oblivious
infirmity	strength
no	choice
prophet	predict
instructor	discipline
tyrant	relentless
citizen	unique
no	choice
song	musician
novel	book
artist	painting
page	typeface
no	choice
movement	fluidity
inherent	extrinsic
border	threshold
permission	allowance
no	choice
knife	stone
tool	garage
pistol	holster
gun	bullet
no	choice
botanist	capsicum
professor	student
agriculturist	dairy
priest	religion
no	choice
love	loneliness
ginseng	energy
antiseptic	wound
anodyne	pain
no	choice
rod	trout
pencil	draw
nail	hammer
telescope	star
no	choice
stack	brick
cord	wood
barrel	oil
bushel	apple
no	choice
polite	servile
whisper	scream
grasping	needy
abstinent	indulgent
no	choice
halibut	salmon
beak	feather
deer	fawn
beagle	dog
egg	chick
brain	intelligence
happiness	bliss
smile	anger
agenda	list
clock	time
moose	antlers
camel	hump
spider	legs
alligator	tail
cat	whiskers
mountain	peak
gravel	driveway
sand	desert
minnow	fish
melon	fruit
vital	wary
effusive	emotional
vain	beautiful
resolute	weak
old	modern
snore	sleep
drawl	speak
throw	toss
ladle	brush
finish	end
fish	school
lion	cat
wolf	sheep
cub	bear
dog	bone
flour	bread
knife	utensil
grass	water
sail	ship
leaf	tree
cobra	venom
doctor	hospital
aluminum	metal
gymnasium	track
airplane	cloud
salty	ocean
cloudy	height
lurid	shock
pious	faith
apathetic	caring
comprehensive	total
inquisitive	curiosity
moral	integrity
oblivious	awareness
witty	levity
morbid	death
intrepid	fear
fundamental	basics
prominent	sight
hopeless	pessimism
window	close
spice	season
cloth	weave
mask	frighten
country	vote
laundry	fold
bleach	color
computer	repair
steel	forge
elevator	lift
radio	repair
antidote	poison
detergent	clean
carpenter	build
rocket	launch
torpid	rule
innocent	judge
depraved	admire
estimable	praise
worthy	parody
boredom	apathy
cook	food
comedy	laughter
frown	anger
resentment	mutiny
rings	jeweler
pharmacy	pharmacist
roses	arrangement
wedding	caterer
stethoscope	doctor
economize	spend
revere	admire
sulk	roar
flirt	giggle
ignore	notice
architect	custodian
composer	musician
biographer	celebrity
soldier	colonel
lawyer	judge
report	outline
chicken	egg
brick	wall
soup	ladle
conduit	cement
sneezing	allergies
earthquake	destruction
water	thirst
illness	fever
executive	agenda
sheer	cliff
reticent	tack
inebriated	memory
trite	speech
satiated	hunger
scholar	knowledge
stable	horse
factory	outlet
laboratory	radiation
laser	energy
scream	shout
labor	rest
breathe	pant
arrest	indict
jeer	mock
hydrogen	water
rock	quarry
wheel	bicycle
emerald	gem
coral	ocean
retreat	position
retire	pension
voyage	suitcase
swindle	property
novel	old
criminal	restitution
insincere	dismay
sacred	relic
soporific	sleep
unethical	principles
impudent	control
daring	audacity
parochial	scope
objective	rage
beguiling	disgust
deliver	speedy
provoke	angry
mitigate	severe
slander	dishonest
assuage	commodious
eagle	bird
impersonation	flattery
limerick	poem
ballad	song
license	hunter
unnerving	irritated
innocuous	harmed
irrelevant	verified
insolvent	dissolved
indelible	erased
plagiarize	writing
indemnify	damages
indoctrinate	institutions
pacify	aggression
proselytize	religion
strident	loneliness
unwitting	awareness
impudent	regret
omniscient	understanding
meritorious	esteem
invalid	healthy
pugilist	stubborn
defendant	guilty
scholar	erudite
sentinel	guarded
indifferent	averse
stubborn	obdurate
morose	slothful
unequivocal	skeptical
angry	passive
train	caboose
car	tires
freighter	cargo
plane	pilot
yacht	owner
scuff	furniture
donate	tree
ice	cake
injure	gun
chortle	laugh
cut	scissors
deliver	box
polish	wax
sand	wood
tarnish	silver
haven	refuge
waterfall	revelation
prison	interrogation
church	diversity
memorial	architecture
fracture	bones
divorce	marriages
coalition	factions
car	payments
convention	speeches
synopsis	avoid
application	file
obscenity	censor
conciliation	appease
reiteration	say
artist	canvas
administrator	personnel
teller	window
teacher	information
nurse	hospital
syrup	candy
lint	clothes
blood	mammal
mold	bread
fertilizer	plant
withdraw	offer
amend	agreement
reconcile	amends
demote	employee
renovate	house
aria	opera
trailer	movie
afterword	book
act	scene
comedy	drama
settlement	lawyer
embezzlement	employer
justice	honor
hospitality	generosity
chagrin	mistake
whole	sample
agent	manager
lobbyist	senator
pitch	salesman
minority	majority
morose	behavior
injurious	prying
ingenuous	innocence
pernicious	damage
laconic	speech
fluid	changed
vague	truncated
virtuous	bribed
witty	amused
divergent	exploited
conflagration	fire
preamble	introduction
indifferent	interest
colt	horse
pseudonym	name
laminate	layer
inhibit	idea
expedite	mail
invoke	deity
abridge	book
contrite	happy
curt	expansive
voracious	hungry
dissonant	emotive
ephemeral	exorbitant
rate	prevalent
essential	imperative
sealed	hermetic
spontaneous	combustive
judicious	minimal
explain	enigmatic
discard	useless
exude	flamboyant
concur	sycophantic
tremble	jocular
lively	energy
hostile	enemy
hoarse	speech
fractured	cast
walk	transportation
discrepancy	account
empathy	feeling
plan	organization
apathy	caring
homely	household
quibble	objection
gravel	sand
mountain	hill
wood	splinter
radio	television
umbrella	clouds
engine	automobile
license	fishing
alarm	valuable
helmet	injury
digestion	snack
revision	story
irrigation	crop
cooking	apron
detection	gun
pristine	grace
skeptical	doubt
tainted	honor
stringent	suggestions
wary	risks
incomprehensible	story
imperceptible	microscope
inadvertent	telescope
heat	radiator
unknown	mystery
lament	woe
hibernate	winter
extricate	entanglements
digress	angst
emulate	egotism
collage	art
melody	music
bandage	medicine
school	philosophy
sequel	film
feathered	vulture
bovine	pasture
infantile	child
carnivorous	plant
wizened	wisdom
snow	avalanche
rain	deluge
immunization	disease
zenith	view
buttress	building
catharsis	epiphanies
sterilization	ailments
salvation	prayers
disinfection	bacteria
inattention	details
acrobat	net
doctor	nurse
mercenary	money
professor	knowledge
opportunist	advantage
storm	hail
drop	rain
field	wheat
stack	hay
cloud	sky
egg	crack
carrot	uproot
apple	core
bread	slice
corn	husk
bird	sky
fish	sea
star	galaxy
mammal	land
lake	river
cat	dog
shark	fish
worm	snake
lion	tiger
ewe	sheep
reckoning	probabilities
truce	belligerents
artillery	tanks
campaign	strategies
adjournment	proceedings
perennial	plants
morbid	cemeteries
emotional	feelings
moral	stories
maniacal	men
quarantine	patient
cloister	convent
parole	prisoner
graduate	pupil
elect	mayor
glut	prosperous
system	organized
answer	questioning
ration	scarce
intent	clear
leave	inviting
enliven	animated
flatten	smooth
boast	modest
assist	helpful
cloudy	warmth
innate	capability
worthy	heroism
placid	calmness
solid	order
tempestuous	explode
unready	prepare
superstitious	believe
unfeasible	originate
fortuitous	plan
fertile	fecundity
presumptuous	deviation
miserable	tragedy
appealing	delineation
destructive	progress
restore	furniture
cleanse	alcohol
cure	illness
revive	faint
hospitalize	patient
secret	confidant
palette	painter
cell	prisoner
draft	writer
chisel	sculptor
beware	danger
rush	patience
enjoy	pleasure
suppress	rage
sleep	insomnia
goods	warehouse
customers	store
stevedores	ship
engine	train
passengers	bus
allege	deny
halt	traverse
purchase	rent
study	learn
browse	read
medley	songs
book	volumes
survey	lands
collection	lists
assembly	bills
dislike	hypocrisy
pretend	imagination
annoy	irritation
suspect	illegality
demolish	renovation
vegetarian	plants
predatory	animal
nocturnal	day
arid	desert
aquatic	water
dispute	arbiter
poll	contestant
championship	spectator
conference	speaker
match	competitor
birthday	cake
coronation	reign
graduation	diploma
promotion	job
decoration	bravery
utter	apology
exploit	weakness
mollify	anger
squander	opportunity
emulate	achievement
astronaut	capsule
perfectionist	frustration
consumer	impulse
opportunist	advantage
director	stage
nip	maturation
insure	disaster
rearrange	order
intensify	endurance
reciprocate	interchange
musician	orchestra
singer	song
lecturer	class
congregation	church
proofreader	text
current	river
water	lake
waves	sea
horizon	sunset
shore	ocean
contract	lawyer
schedule	worker
menu	diner
article	author
bank	teller
translucent	illuminate
brittle	bend
frigid	chill
ponderous	lift
soluble	dissolve
encore	applause
ornament	decoration
choreography	dance
prayer	religion
thesis	evidence
scientist	theory
impostor	identity
libertarian	tyranny
conformist	expectation
soldier	combat
mop	floor
sponge	soap
pen	ink
nail	wall
bleach	stain
belt	waist
earrings	ears
razor	hair
gloves	cold
helmet	head
album	photographs
government	policies
drama	acts
excavation	artifacts
rhythm	drums
petals	flower
tadpoles	frog
claws	crab
algae	seaweed
quills	porcupine
letter	salutation
coupon	discount
receipt	payment
license	travel
application	interview
recognition	winner
victory	athlete
passion	enthusiast
appointment	official
medicine	doctor
calculation	assess
ornament	adorn
painting	hang
posture	improve
dish	garnish
vain	admire
obliging	help
retiring	boast
jealous	possess
wary	surprise
frugal	extravagance
organized	structure
pitiful	compassion
provocative	anger
moody	unhappiness
musical	hearing
audible	volume
nasal	smell
sensitive	feeling
visible	sight
shuffle	order
train	competence
rank	value
divide	quantity
poll	opinion
autopsy	death
syntax	grammar
jurisprudence	law
archaeology	site
etymology	dictionary
permanent	stability
dogged	surrender
disorganized	chaos
lonesome	friendship
strenuous	exercise
gauge	measurement
forge	metal
beam	light
ripple	lake
curve	circle
bracelet	jewelry
mural	wall
tattoo	design
paint	color
flower	vase
ballerina	dancer
clerk	customer
nurse	orderly
juror	judge
captain	teammate
yolk	egg
grape	raisin
flour	bread
soil	seed
thorn	stem
semaphore	signal
dread	expectation
lure	trap
fear	victim
frustration	confusion
pardoned	blame
staid	manner
tactful	awkwardness
conceited	reputation
lucid	clarity
desert	sun
hurricane	wind
epidemic	disease
volcano	lava
famine	nourishment
thermometer	fever
